"...1";"...2";"...3";"...4";"...5";"...6";"...7";"...8";"...9";"...10";"...11";"...12";"...13";"...14"
"Population per municipality original, municipality recent, police region, police unit and province by age and sex";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Inwoners per gemeente origineel, gemeente recent, politieregio, politieeenheid en provincie naar leeftijd en geslacht";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"vanaf 1950 naar leeftijd en geslacht";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"vanaf 1978 ook naar gemeente etc.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Bron, Source: Centraal bureau voor de Statistiek, Statistics Netherlands (CBS)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Bevolkingsstatistiek vanaf 1988 (CBS)";NA;"https://opendata.cbs.nl/statline/#/CBS/nl/dataset/03759ned/table?dl=B59FC";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Gemeenten_historisch";"Year";"Province";"Police_Unit";"Police_Region";"Municipality_code_org";"Municipality_original";"Municipality_code_recent";"Municipality_recent";"Inhabitants";NA;NA;NA;NA
NA;"Jaar";"Provincie";"Eenheid";"Politieregio";"gemeente_nr";"Gemeente_naam";"gemeente_nr_recent";"Gemeente_naam_recent";"Inwoners";NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Gemeenten_recent_lft_sex";"Year";"Province";"Police_Unit";"Police_Region";"Municipality_code_recent";"Municipality_recent";"Geslacht";"Sex";"Agegroup";"Inhabitants";NA;NA;NA
NA;"Jaar";"Provincie";"Eenheid";"Politieregio";"gemeente_nr_recent";"Gemeente_naam_recent";"Geslacht";"Sex";"Leeftijd";"Inwoners";NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Inwoners_regio_leeftijd";"Year";"Province";"Police_Unit";"Police_Region";"Geslacht";"Sex";"Age";"Inhabitants";NA;NA;NA;NA;NA
NA;"Jaar";"Provincie";"Eenheid";"Politieregio";"Geslacht";"Sex";"Leeftijd";"Inwoners";NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
